NOTE! Installing ujson may make loading annotations faster.
Using device: cuda:0
Loading COCO dataset...
Loading annotations into memory...
Done (t=8.83s)
Creating index...
index created!
Loading annotations into memory...
Done (t=0.37s)
Creating index...
index created!
Train samples: 117266, Val samples: 4952
Number of classes in mapping: 80

Epoch 6, Batch 400/1833: Loss=1.8793
Epoch 6, Batch 450/1833: Loss=1.4958
Epoch 6, Batch 500/1833: Loss=1.8393
Epoch 6, Batch 550/1833: Loss=2.0480
Epoch 6, Batch 600/1833: Loss=1.7332
Epoch 6, Batch 650/1833: Loss=1.7373
Epoch 6, Batch 700/1833: Loss=1.4313
Epoch 6, Batch 750/1833: Loss=2.1784
Epoch 6, Batch 800/1833: Loss=1.5194
Epoch 6, Batch 850/1833: Loss=1.8372
Epoch 6, Batch 900/1833: Loss=2.0442
Epoch 6, Batch 950/1833: Loss=1.7933
Epoch 6, Batch 1000/1833: Loss=1.6038
Epoch 6, Batch 1050/1833: Loss=1.8022
Epoch 6, Batch 1100/1833: Loss=1.6159
Epoch 6, Batch 1150/1833: Loss=1.7311
Epoch 6, Batch 1200/1833: Loss=1.7756
Epoch 6, Batch 1250/1833: Loss=1.3643
Epoch 6, Batch 1300/1833: Loss=1.4868
Epoch 6, Batch 1350/1833: Loss=1.9222
Epoch 6, Batch 1400/1833: Loss=2.1530
Epoch 6, Batch 1450/1833: Loss=1.4342
Epoch 6, Batch 1500/1833: Loss=1.4550
Epoch 6, Batch 1550/1833: Loss=2.0315
Epoch 6, Batch 1600/1833: Loss=1.8415
Epoch 6, Batch 1650/1833: Loss=1.7509
Epoch 6, Batch 1700/1833: Loss=1.8380
Epoch 6, Batch 1750/1833: Loss=1.8611
Epoch 6, Batch 1800/1833: Loss=1.6348
Epoch 6 | Train Loss: 1.7389 | Val Accuracy: 43.70%
Epoch 7, Batch 0/1833: Loss=1.8362
Epoch 7, Batch 50/1833: Loss=1.4137
Epoch 7, Batch 100/1833: Loss=1.5106
Epoch 7, Batch 150/1833: Loss=1.4656
Epoch 7, Batch 200/1833: Loss=1.4626
Epoch 7, Batch 250/1833: Loss=1.5202
Epoch 7, Batch 300/1833: Loss=1.3758
Epoch 7, Batch 350/1833: Loss=1.4198
Epoch 7, Batch 400/1833: Loss=1.4606
Epoch 7, Batch 450/1833: Loss=1.6555
Epoch 7, Batch 500/1833: Loss=1.7170
Epoch 7, Batch 550/1833: Loss=1.4678
Epoch 7, Batch 600/1833: Loss=1.6084
Epoch 7, Batch 650/1833: Loss=1.3448
Epoch 7, Batch 700/1833: Loss=1.3680
Epoch 7, Batch 750/1833: Loss=1.4371
Epoch 7, Batch 800/1833: Loss=1.6520
Epoch 7, Batch 850/1833: Loss=1.7830
Epoch 7, Batch 900/1833: Loss=1.6242
Epoch 7, Batch 950/1833: Loss=1.4232
Epoch 7, Batch 1000/1833: Loss=1.8048
Epoch 7, Batch 1050/1833: Loss=1.3019
Epoch 7, Batch 1100/1833: Loss=1.3817
Epoch 7, Batch 1150/1833: Loss=1.8352
Epoch 7, Batch 1200/1833: Loss=1.6669
Epoch 7, Batch 1250/1833: Loss=1.6361
Epoch 7, Batch 1300/1833: Loss=1.5817
Epoch 7, Batch 1350/1833: Loss=1.3125
Epoch 7, Batch 1400/1833: Loss=1.8688
Epoch 7, Batch 1450/1833: Loss=1.4577
Epoch 7, Batch 1500/1833: Loss=1.5113
Epoch 7, Batch 1550/1833: Loss=1.4494
Epoch 7, Batch 1600/1833: Loss=1.7964
Epoch 7, Batch 1650/1833: Loss=1.4179
Epoch 7, Batch 1700/1833: Loss=1.6574
Epoch 7, Batch 1750/1833: Loss=1.5043
Epoch 7, Batch 1800/1833: Loss=1.4006
Epoch 7 | Train Loss: 1.5323 | Val Accuracy: 43.72%
Epoch 8, Batch 0/1833: Loss=1.4884
Epoch 8, Batch 50/1833: Loss=0.9607
Epoch 8, Batch 100/1833: Loss=1.1217
